Date,Time,Status,System,System Info
,,Supercruise,HIP 33368 system, none
,,Normal,HIP 33368 system,PlanetaryRing HIP 33368 6 B Ring
,,Supercruise,HIP 33368 system, none
,,Normal,HIP 33368 system,Station Barjavel Station
,,Normal,HIP 33368 system,Station Barjavel Station
,,Normal,Col 285 Sector EP-A b16-0 system,Star Col 285 Sector EP-A b16-0 A
,,Supercruise,Col 285 Sector EP-A b16-0 system, none
,,Normal,Col 285 Sector IG-X b17-1 system,Star Col 285 Sector IG-X b17-1 A
,,Normal,17 Draconis system,Station Paradiso Outpost
27-January-3303,18:55,Supercruise,17 Draconis system, none
27-January-3303,18:58,Normal,17 Draconis system,PlanetaryRing Eo r1
27-January-3303,19:30,Normal,Fedmich system,Station Roberts Port
27-January-3303,20:46,Supercruise,Fedmich system, none
27-January-3303,20:50,Normal,Fedmich system,PlanetaryRing Fedmich 8 A Ring
27-January-3303,21:00,Supercruise,Fedmich system, none
27-January-3303,21:03,Normal,Fedmich system,Station Ron Hubbard Dock
